Attention backend: flex
Vocab size: 8,192
Model config: {'sequence_len': 2048, 'vocab_size': 8192, 'n_layer': 20, 'n_head': 10, 'n_kv_head': 10, 'n_embd': 1280, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 10,485,760
  value_embeds            : 0
  lm_head                 : 10,485,760
  transformer_matrices    : 327,680,000
  scalars                 : 40
  total                   : 348,651,560
Estimated FLOPs per token: 2.658140e+09
Scaling AdamW LRs by 1/sqrt(1280/768) = 0.774597
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 9.011539 | lrm: 1.00 | dt: 3979ms | tok/sec: 32,942 | mfu: 3.9% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.884440 | lrm: 1.00 | dt: 362ms | tok/sec: 362,267 | mfu: 42.8% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 8.628838 | lrm: 1.00 | dt: 380ms | tok/sec: 345,284 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 8.342259 | lrm: 1.00 | dt: 372ms | tok/sec: 352,790 | mfu: 41.7% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.977324 | lrm: 1.00 | dt: 378ms | tok/sec: 346,661 | mfu: 41.0% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 7.676739 | lrm: 1.00 | dt: 379ms | tok/sec: 346,109 | mfu: 40.9% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 7.418925 | lrm: 1.00 | dt: 380ms | tok/sec: 345,024 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 7.201191 | lrm: 1.00 | dt: 380ms | tok/sec: 345,034 | mfu: 40.8% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 7.016933 | lrm: 1.00 | dt: 363ms | tok/sec: 361,366 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.859998 | lrm: 1.00 | dt: 365ms | tok/sec: 359,354 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 6.713178 | lrm: 1.00 | dt: 364ms | tok/sec: 360,157 | mfu: 42.5% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 6.586898 | lrm: 1.00 | dt: 363ms | tok/sec: 361,034 | mfu: 42.7% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 6.476791 | lrm: 1.00 | dt: 362ms | tok/sec: 362,054 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00013 (0.2%) | loss: 6.377415 | lrm: 1.00 | dt: 362ms | tok/sec: 362,215 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00014 (0.4%) | loss: 6.290110 | lrm: 1.00 | dt: 362ms | tok/sec: 362,099 | mfu: 42.8% | epoch: 1 | remaining: 299s    
step 00156 (17.3%) | loss: 4.196682 | lrm: 1.00 | dt: 345ms | tok/sec: 380,145 | mfu: 44.9% | epoch: 1 | remaining: 248s    
step 00157 (17.4%) | loss: 4.187259 | lrm: 1.00 | dt: 346ms | tok/sec: 378,728 | mfu: 44.7% | epoch: 1 | remaining: 247s    
step 00158 (17.5%) | loss: 4.178843 | lrm: 1.00 | dt: 344ms | tok/sec: 380,944 | mfu: 45.0% | epoch: 1 | remaining: 247s    
step 00159 (17.6%) | loss: 4.169776 | lrm: 1.00 | dt: 343ms | tok/sec: 382,511 | mfu: 45.2% | epoch: 1 | remaining: 247s    
step 00160 (17.7%) | loss: 4.156401 | lrm: 1.00 | dt: 340ms | tok/sec: 385,033 | mfu: 45.5% | epoch: 1 | remaining: 246s    
step 00161 (17.9%) | loss: 4.139450 | lrm: 1.00 | dt: 343ms | tok/sec: 382,632 | mfu: 45.2% | epoch: 1 | remaining: 246s    
step 00162 (18.0%) | loss: 4.124524 | lrm: 1.00 | dt: 345ms | tok/sec: 380,085 | mfu: 44.9% | epoch: 1 | remaining: 246s    
step 00163 (18.1%) | loss: 4.116363 | lrm: 1.00 | dt: 345ms | tok/sec: 379,807 | mfu: 44.9% | epoch: 1 | remaining: 245s    
step 00164 (18.2%) | loss: 4.104618 | lrm: 1.00 | dt: 344ms | tok/sec: 381,131 | mfu: 45.0% | epoch: 1 | remaining: 245s    
step 00165 (18.3%) | loss: 4.094656 | lrm: 1.00 | dt: 343ms | tok/sec: 381,629 | mfu: 45.1% | epoch: 1 | remaining: 245s    
step 00166 (18.4%) | loss: 4.084907 | lrm: 1.00 | dt: 341ms | tok/sec: 384,745 | mfu: 45.5% | epoch: 1 | remaining: 244s    
step 00167 (18.5%) | loss: 4.078231 | lrm: 1.00 | dt: 342ms | tok/sec: 383,055 | mfu: 45.3% | epoch: 1 | remaining: 244s    
step 00168 (18.7%) | loss: 4.068326 | lrm: 1.00 | dt: 346ms | tok/sec: 378,586 | mfu: 44.7% | epoch: 1 | remaining: 244s    
step 00169 (18.8%) | loss: 4.062114 | lrm: 1.00 | dt: 345ms | tok/sec: 379,922 | mfu: 44.9% | epoch: 1 | remaining: 243s    
step 00170 (18.9%) | loss: 4.049854 | lrm: 1.00 | dt: 342ms | tok/sec: 383,507 | mfu: 45.3% | epoch: 1 | remaining: 243s    
step 00171 (19.0%) | loss: 4.036684 | lrm: 1.00 | dt: 342ms | tok/sec: 382,918 | mfu: 45.2% | epoch: 1 | remaining: 243s    
step 00172 (19.1%) | loss: 4.027337 | lrm: 1.00 | dt: 344ms | tok/sec: 381,092 | mfu: 45.0% | epoch: 1 | remaining: 242s    
step 00173 (19.2%) | loss: 4.019559 | lrm: 1.00 | dt: 344ms | tok/sec: 380,719 | mfu: 45.0% | epoch: 1 | remaining: 242s    
step 00174 (19.3%) | loss: 4.005980 | lrm: 1.00 | dt: 346ms | tok/sec: 378,340 | mfu: 44.7% | epoch: 1 | remaining: 242s    
step 00175 (19.5%) | loss: 3.995672 | lrm: 1.00 | dt: 342ms | tok/sec: 383,337 | mfu: 45.3% | epoch: 1 | remaining: 241s    
step 00176 (19.6%) | loss: 3.989526 | lrm: 1.00 | dt: 342ms | tok/sec: 383,635 | mfu: 45.3% | epoch: 1 | remaining: 241s    
step 00177 (19.7%) | loss: 3.972781 | lrm: 1.00 | dt: 344ms | tok/sec: 381,361 | mfu: 45.1% | epoch: 1 | remaining: 241s    
step 00178 (19.8%) | loss: 3.972436 | lrm: 1.00 | dt: 342ms | tok/sec: 383,041 | mfu: 45.3% | epoch: 1 | remaining: 240s    
step 00179 (19.9%) | loss: 3.963283 | lrm: 1.00 | dt: 347ms | tok/sec: 377,284 | mfu: 44.6% | epoch: 1 | remaining: 240s    
step 00180 (20.0%) | loss: 3.947286 | lrm: 1.00 | dt: 344ms | tok/sec: 380,671 | mfu: 45.0% | epoch: 1 | remaining: 240s    
step 00181 (20.2%) | loss: 3.936895 | lrm: 1.00 | dt: 341ms | tok/sec: 384,332 | mfu: 45.4% | epoch: 1 | remaining: 239s    
step 00182 (20.3%) | loss: 3.926469 | lrm: 1.00 | dt: 342ms | tok/sec: 383,045 | mfu: 45.3% | epoch: 1 | remaining: 239s    
step 00183 (20.4%) | loss: 3.924966 | lrm: 1.00 | dt: 343ms | tok/sec: 381,987 | mfu: 45.1% | epoch: 1 | remaining: 239s    
step 00184 (20.5%) | loss: 3.911869 | lrm: 1.00 | dt: 342ms | tok/sec: 383,347 | mfu: 45.3% | epoch: 1 | remaining: 238s    
step 00185 (20.6%) | loss: 3.903954 | lrm: 1.00 | dt: 346ms | tok/sec: 378,716 | mfu: 44.7% | epoch: 1 | remaining: 238s    
step 00186 (20.7%) | loss: 3.896631 | lrm: 1.00 | dt: 344ms | tok/sec: 381,282 | mfu: 45.0% | epoch: 1 | remaining: 237s    
step 00187 (20.8%) | loss: 3.886600 | lrm: 1.00 | dt: 343ms | tok/sec: 381,657 | mfu: 45.1% | epoch: 1 | remaining: 237s    
step 00188 (21.0%) | loss: 3.871525 | lrm: 1.00 | dt: 339ms | tok/sec: 386,347 | mfu: 45.6% | epoch: 1 | remaining: 237s    
step 00189 (21.1%) | loss: 3.861523 | lrm: 1.00 | dt: 340ms | tok/sec: 385,032 | mfu: 45.5% | epoch: 1 | remaining: 236s    
step 00190 (21.2%) | loss: 3.842879 | lrm: 1.00 | dt: 342ms | tok/sec: 382,702 | mfu: 45.2% | epoch: 1 | remaining: 236s    
step 00191 (21.3%) | loss: 3.828579 | lrm: 1.00 | dt: 341ms | tok/sec: 384,637 | mfu: 45.4% | epoch: 1 | remaining: 236s    
step 00192 (21.4%) | loss: 3.819966 | lrm: 1.00 | dt: 343ms | tok/sec: 382,359 | mfu: 45.2% | epoch: 1 | remaining: 235s    
step 00193 (21.5%) | loss: 3.811228 | lrm: 1.00 | dt: 347ms | tok/sec: 378,159 | mfu: 44.7% | epoch: 1 | remaining: 235s    
step 00194 (21.6%) | loss: 3.807680 | lrm: 1.00 | dt: 344ms | tok/sec: 380,966 | mfu: 45.0% | epoch: 1 | remaining: 235s    
step 00195 (21.8%) | loss: 3.804916 | lrm: 1.00 | dt: 343ms | tok/sec: 381,931 | mfu: 45.1% | epoch: 1 | remaining: 234s    
step 00196 (21.9%) | loss: 3.807255 | lrm: 1.00 | dt: 342ms | tok/sec: 383,596 | mfu: 45.3% | epoch: 1 | remaining: 234s    
